Name,Calories,Total_fat,Carbohydrates,Protein,Phenylalanine,Home_measure,Home_phenylalanine,Home_weight,Category,Color
MEVALIA PKU GMPOWER miško uogų,64,45,27,1.7,302, 1 pakelis,15,22.6,Amino rūgštys,Žalia
MEVALIA PKU GMPOWER pinakolada,61,41,33,1.5,320,1 pakelis,15,24.4,Amino rūgštys,Žalia
MEVALIA PKU GMPOWER vanilė,61,43,32,1.7,319,1 pakelis,14,23.4,Amino rūgštys,Žalia
MEVALIA PKU BALANCE apelsinų,0,70,4.9,0,301, 1 porcija,0,195,Amino rūgštys,Žalia
MEVALIA PKU BALANCE,0,70,5.7,0,302,1 porcija,0,195,Amino rūgštys,Žalia
MEVALIA LATTIS pieno pakaitalas,12,0.3,9.1,2.7,62,0,0,0,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA COOKIES sausainiai,31,0.7,78,17,471,1 sausainis,3,10,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA FRUIT BAR batonėlis su braškių įdaru,22,0.6,72,14,424,1 batonėlis,6,25,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA CHOCOTINO šokoladas,14,0.4,47,42,583,1 plytelė,4,25,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA FROLLINI sausainiai,27,0.7,84,15,476,1 sausainis,2,7,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA DITALI makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA FUSILLI makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA PENNE makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA SPAGHETTI spagečiai,18,0.5,81,1.6,355,1 porcija,14,80,Maisto produktai su sumažintu baltymų kiekiu,Geltona
MEVALIA RICE ryžiai,20,0.5,79,1.3,343,1 porcija,16,80,Maisto produktai su sumažintu baltymų kiekiu,Geltona
Agurkai,23,0.7,2.9,0.1,13,1 mažas,12,50,Daržovė,Geltona
Rauginti agurkai,33,1.0,1.9,0.1,11,1 mažas,17,50,Daržovė,Geltona
Artišokai,72,2.4,2.6,0.1,22,1 vnt.,50,15,Daržovė,Geltona
Baklažanai,49,1.1,6.3,0.1,21,1 vnt.,113,230,Daržovė,Geltona
Bazilikai,93,3.1,5,1,41,Šakelė,5,2,Daržovė,Geltona
Brokoliai,124,3.0,5.2,0.4,27,15 cm skersmens,434,350,Daržovė,Geltona
Briuselio kopūstai,185,4.7,8.7,0.5,37,1 vnt.,19,10,Daržovė,Geltona
Burokėliai,81,1.8,9.5,0.1,38,1 vnt.,81,100,Daržovė,Geltona
